date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:05	10309/10309	---M--	200	added ('OK')	image/png	etag:%2267a4b1d4-2845%22	https://innokit.com.au/wp-content/uploads/2025/01/cropped-Innokit-Master-Square-White-RGB-180x180.png	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/2025/01/cropped-Innokit-Master-Square-White-RGB-180x180.png	(from https://innokit.com.au/)
23:06:06	18211/18211	---M--	200	added ('OK')	image/png	etag:%2267a4b1d4-4723%22	https://innokit.com.au/wp-content/uploads/2025/01/cropped-Innokit-Master-Square-White-RGB-270x270.png	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/2025/01/cropped-Innokit-Master-Square-White-RGB-270x270.png	(from https://innokit.com.au/)
23:06:06	5055/5055	---M--	200	added ('OK')	image/jpeg	etag:%2267a4b1d4-13bf%22	https://innokit.com.au/wp-content/uploads/2025/01/instagram-mobile-menu-logo.jpg	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/2025/01/instagram-mobile-menu-logo.jpg	(from https://innokit.com.au/)
23:06:06	2788/2788	---M--	200	added ('OK')	image/jpeg	etag:%2267a4b1d4-ae4%22	https://innokit.com.au/wp-content/uploads/2025/01/linkedin-mobile-menu-logo.jpg	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/2025/01/linkedin-mobile-menu-logo.jpg	(from https://innokit.com.au/)
23:06:06	77783/77783	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22676e9b3c-12fd7%22	https://innokit.com.au/wp-content/uploads/2024/12/Innokit-Master-Primary-Black-RGB.svg	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/wp-content/uploads/2024/12/Innokit-Master-Primary-Black-RGB.svg	(from https://innokit.com.au/)
23:06:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Sep%202026%2013:06:06%20GMT	https://innokit.com.au/contact-us	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/contact-us	(from https://innokit.com.au/)
23:06:10	97195/97195	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Sep%202026%2013:06:08%20GMT	https://innokit.com.au/about-us/	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/about-us/index.html	(from https://innokit.com.au/)
23:06:10	63984/63984	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Sep%202026%2013:06:09%20GMT	https://innokit.com.au/contact-us/	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/contact-us/index.html	(from https://innokit.com.au/)
23:06:11	130675/130675	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Sep%202026%2013:06:08%20GMT	https://innokit.com.au/what-we-do/	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/what-we-do/index.html	(from https://innokit.com.au/)
23:06:11	111123/111123	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Sep%202026%2013:06:09%20GMT	https://innokit.com.au/gallery/	/storage/emulated/0/HTTrack/Websites/innokit.com.au/innokit.com.au/gallery/index.html	(from https://innokit.com.au/)
